4/1/2020,20:34:7,7
4/1/2020,20:34:8,19
4/1/2020,20:34:9,23
4/1/2020,20:34:10,8
4/1/2020,20:34:11,10
4/1/2020,20:34:12,2
4/1/2020,20:34:13,24
4/1/2020,20:34:14,8
4/1/2020,20:34:15,23
4/1/2020,20:34:16,19
4/1/2020,20:34:17,0
4/1/2020,20:34:18,5
4/1/2020,20:34:19,12
4/1/2020,20:34:20,2
4/1/2020,20:34:21,27
4/1/2020,20:34:22,23
4/1/2020,20:34:23,7
4/1/2020,20:34:24,19
4/1/2020,20:34:25,10
4/1/2020,20:34:26,22
4/1/2020,20:34:27,3
4/1/2020,20:34:28,19
4/1/2020,20:34:29,9
4/1/2020,20:34:30,17
4/1/2020,20:34:31,10
4/1/2020,20:34:32,3
4/1/2020,20:34:33,9
4/1/2020,20:34:34,18
4/1/2020,20:34:35,26
4/1/2020,20:34:36,25
4/1/2020,20:34:37,7
4/1/2020,20:34:38,26
4/1/2020,20:34:39,2
4/1/2020,20:34:40,7
4/1/2020,20:34:41,20
4/1/2020,20:34:42,3
4/1/2020,20:34:43,19
4/1/2020,20:34:44,19
4/1/2020,20:34:45,9
4/1/2020,20:34:46,21
4/1/2020,20:34:47,7
4/1/2020,20:34:48,2
4/1/2020,20:34:49,13
4/1/2020,20:34:50,6
4/1/2020,20:34:51,5
4/1/2020,20:34:52,5
4/1/2020,20:34:53,8
4/1/2020,20:34:54,1
4/1/2020,20:34:55,24
4/1/2020,20:34:56,7
4/1/2020,20:34:57,11
4/1/2020,20:34:58,23
4/1/2020,20:34:59,28
4/1/2020,20:35:0,4
4/1/2020,20:35:1,28
4/1/2020,20:35:2,20
4/1/2020,20:35:3,24
4/1/2020,20:35:4,26
4/1/2020,20:35:5,0
4/1/2020,20:35:6,13
4/1/2020,20:35:7,22
4/1/2020,20:35:8,16
4/1/2020,20:35:9,9
4/1/2020,20:35:10,14
4/1/2020,20:35:11,11
4/1/2020,20:35:12,13
4/1/2020,20:35:13,27
4/1/2020,20:35:14,18
4/1/2020,20:35:15,18
4/1/2020,20:35:16,13
4/1/2020,20:35:17,28
4/1/2020,20:35:18,1
4/1/2020,20:35:19,25
4/1/2020,20:35:20,13
4/1/2020,20:35:21,15
4/1/2020,20:35:22,4
4/1/2020,20:35:23,23
4/1/2020,20:35:24,6
4/1/2020,20:35:25,5
4/1/2020,20:35:26,29
4/1/2020,20:35:27,15
4/1/2020,20:35:28,4
4/1/2020,20:35:29,9
4/1/2020,20:35:30,1
4/1/2020,20:35:31,17
4/1/2020,20:35:32,5
4/1/2020,20:35:33,15
4/1/2020,20:35:34,14
4/1/2020,20:35:35,21
4/1/2020,20:35:36,18
4/1/2020,20:35:37,18
4/1/2020, 20:45:11, 7
4/1/2020, 20:45:12, 19
4/1/2020, 20:45:13, 23
4/1/2020, 20:45:14, 8
4/1/2020, 20:45:15, 10
4/1/2020, 20:45:16, 2
4/1/2020, 20:45:17, 24
4/1/2020, 20:45:18, 8
4/1/2020, 20:45:19, 23
4/1/2020, 20:45:20, 19
4/1/2020, 20:45:21, 0
4/1/2020, 20:45:22, 5
4/1/2020, 20:45:23, 12
4/1/2020, 20:45:26, 7
4/1/2020, 20:45:27, 19
4/1/2020, 20:45:28, 23
4/1/2020, 20:45:29, 8
4/1/2020, 20:45:30, 10
4/1/2020, 20:45:31, 2
4/1/2020, 20:45:32, 24
4/1/2020, 20:45:33, 8
4/1/2020, 20:45:34, 23
4/1/2020, 20:45:35, 19
4/1/2020, 20:45:36, 0
4/1/2020, 20:45:37, 5
4/1/2020, 20:45:38, 12
4/1/2020, 20:45:39, 2
4/1/2020, 20:45:54, 7
4/1/2020, 20:45:55, 19
4/1/2020, 20:45:56, 23
4/1/2020, 20:45:57, 8
4/1/2020, 20:45:58, 10
4/1/2020, 20:45:59, 2
4/1/2020, 20:46:0, 24
4/1/2020, 20:46:1, 8
4/1/2020, 20:46:2, 23
4/1/2020, 20:46:3, 19
4/1/2020, 20:46:4, 0
4/1/2020, 20:46:5, 5
4/1/2020, 20:46:6, 12
4/1/2020, 20:47:7, 7
4/1/2020, 20:47:8, 19
4/1/2020, 20:47:9, 23
4/1/2020, 20:47:10, 8
4/1/2020, 20:47:11, 10
4/1/2020, 20:47:12, 2
4/1/2020, 20:47:13, 24
4/1/2020, 20:47:14, 8
4/1/2020, 20:47:15, 23
4/1/2020, 20:47:16, 19
4/1/2020, 20:47:17, 0
4/1/2020, 20:47:18, 5
4/1/2020, 20:47:19, 12
4/1/2020, 20:47:20, 2
4/1/2020, 20:47:21, 27
4/1/2020, 20:47:22, 23
4/1/2020, 20:47:23, 7
4/1/2020, 20:47:24, 19
4/1/2020, 20:47:25, 10
4/1/2020, 20:47:39, 7
4/1/2020, 20:47:40, 19
4/1/2020, 20:47:41, 23
4/1/2020, 20:47:42, 8
4/1/2020, 20:47:43, 10
4/1/2020, 20:47:44, 2
4/1/2020, 20:47:45, 24
4/1/2020, 20:48:5, 7
4/1/2020, 20:48:6, 19
4/1/2020, 20:48:7, 23
4/1/2020, 20:48:8, 8
4/1/2020, 20:48:9, 10
4/1/2020, 20:48:10, 2
4/1/2020, 20:48:11, 24
4/1/2020, 20:48:12, 8
4/1/2020, 20:48:41, 7
4/1/2020, 20:48:42, 19
4/1/2020, 20:48:43, 23
4/1/2020, 20:48:44, 8
